FALSE,GenreID,ArtistID,ArtistName,TrackID,Title,ShareLink,Duration,Rank,ExplicitLyrics,ExplicitContentLyrics,ExplicitContentCover,Preview,BPM,Gain,ImageLink,danceability,track_genre
FALSE,2,9143,Orchestra Baobab,704070602,Utrus Horas,https://www.deezer.com/track/704070602?utm_source=deezer&utm_content=track-704070602&utm_term=0_1702974136&utm_medium=web,519,449168,FALSE,0,2,https://cdns-preview-d.dzcdn.net/stream/c-d547c1ba0089e6f232b25528b630e2d9-4.mp3,172.99,-16.9,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.676,acoustic
FALSE,2,9143,Orchestra Baobab,704046562,Ami Kita Bay,https://www.deezer.com/track/704046562?utm_source=deezer&utm_content=track-704046562&utm_term=0_1702974137&utm_medium=web,325,326584,FALSE,0,2,https://cdns-preview-d.dzcdn.net/stream/c-d1965296d1a2f259603fff52c783df15-5.mp3,185.4,-10.8,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.42,acoustic
FALSE,2,9143,Orchestra Baobab,838860,Jin ma jin ma,https://www.deezer.com/track/838860?utm_source=deezer&utm_content=track-838860&utm_term=0_1702974137&utm_medium=web,340,324244,FALSE,0,2,https://cdns-preview-f.dzcdn.net/stream/c-f219d84768a9cf62fc000593c9ff4495-2.mp3,129.6,-9.4,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.438,acoustic
FALSE,2,9143,Orchestra Baobab,704046542,Nijaay,https://www.deezer.com/track/704046542?utm_source=deezer&utm_content=track-704046542&utm_term=0_1702974138&utm_medium=web,431,303264,FALSE,0,2,https://cdns-preview-1.dzcdn.net/stream/c-1767a1d90fc7850d80fae32745c579a1-6.mp3,182.1,-11.7,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.266,acoustic
FALSE,2,9143,Orchestra Baobab,704072262,On verra ça,https://www.deezer.com/track/704072262?utm_source=deezer&utm_content=track-704072262&utm_term=0_1702974138&utm_medium=web,300,296155,FALSE,0,2,https://cdns-preview-c.dzcdn.net/stream/c-cccc3de2c8712b1011606e7fe13aade1-3.mp3,0,-11,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.618,acoustic
FALSE,2,9143,Orchestra Baobab,704072232,Dée Moo Wóor,https://www.deezer.com/track/704072232?utm_source=deezer&utm_content=track-704072232&utm_term=0_1702974138&utm_medium=web,258,293131,FALSE,0,2,https://cdns-preview-6.dzcdn.net/stream/c-65ef86f9116e7a3f283d5786b67371b7-3.mp3,178.98,-12.3,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.688,acoustic
FALSE,2,9143,Orchestra Baobab,704072242,Jiin Ma Jiin Ma,https://www.deezer.com/track/704072242?utm_source=deezer&utm_content=track-704072242&utm_term=0_1702974139&utm_medium=web,366,271213,FALSE,0,2,https://cdns-preview-b.dzcdn.net/stream/c-b6b02333579ee9e47a6f4399b46e6be2-3.mp3,138.27,-11.9,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.407,acoustic
FALSE,2,9143,Orchestra Baobab,10519805,Mouhamadou Bamba,https://www.deezer.com/track/10519805?utm_source=deezer&utm_content=track-10519805&utm_term=0_1702974139&utm_medium=web,396,134415,FALSE,0,2,https://cdns-preview-3.dzcdn.net/stream/c-3720d4b90efea74df59463550a0a312c-3.mp3,179,-13.9,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.703,acoustic
FALSE,2,9143,Orchestra Baobab,704070622,Ledi Ndieme M'Bodj,https://www.deezer.com/track/704070622?utm_source=deezer&utm_content=track-704070622&utm_term=0_1702974139&utm_medium=web,534,233535,FALSE,0,2,https://cdns-preview-3.dzcdn.net/stream/c-3daa06441481deb2c02504ee40d8dcec-3.mp3,105,-6,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.625,acoustic
FALSE,2,9143,Orchestra Baobab,704072272,Hommage a Tonton Ferrer,https://www.deezer.com/track/704072272?utm_source=deezer&utm_content=track-704072272&utm_term=0_1702974140&utm_medium=web,354,216098,FALSE,0,2,https://cdns-preview-b.dzcdn.net/stream/c-b1e028c2909db91825da3e7aa7fe872e-2.mp3,0,-11.4,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.442,acoustic
FALSE,2,9143,Orchestra Baobab,704072282,El Son Te Ilama,https://www.deezer.com/track/704072282?utm_source=deezer&utm_content=track-704072282&utm_term=0_1702974140&utm_medium=web,329,230764,FALSE,0,2,https://cdns-preview-0.dzcdn.net/stream/c-0dc2efa1a81ab2d40968aa091ece88e3-2.mp3,0,-11.2,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.627,acoustic
FALSE,2,9143,Orchestra Baobab,704046602,Ndéleng Ndéleng,https://www.deezer.com/track/704046602?utm_source=deezer&utm_content=track-704046602&utm_term=0_1702974140&utm_medium=web,338,156580,FALSE,0,2,https://cdns-preview-a.dzcdn.net/stream/c-abc5d9bc60a33b34bf7a976d5aed64fa-4.mp3,128.4,-9.2,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.483,acoustic
FALSE,2,9143,Orchestra Baobab,704059552,Guajira Ven (Demo),https://www.deezer.com/track/704059552?utm_source=deezer&utm_content=track-704059552&utm_term=0_1702974141&utm_medium=web,347,174014,FALSE,0,2,https://cdns-preview-9.dzcdn.net/stream/c-951f9520dcca37df4e33b4c4af06024e-2.mp3,0,-14.3,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.489,acoustic
FALSE,2,9143,Orchestra Baobab,704070692,La Rebellion,https://www.deezer.com/track/704070692?utm_source=deezer&utm_content=track-704070692&utm_term=0_1702974141&utm_medium=web,474,149871,FALSE,0,2,https://cdns-preview-1.dzcdn.net/stream/c-18f600267e7852d788e5925fb6f87487-2.mp3,0,-15.7,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.691,acoustic
FALSE,2,9143,Orchestra Baobab,1820880087,El Son Te Llama,https://www.deezer.com/track/1820880087?utm_source=deezer&utm_content=track-1820880087&utm_term=0_1702974141&utm_medium=web,409,172496,FALSE,0,0,https://cdns-preview-9.dzcdn.net/stream/c-9d429a2e8c1103884615cf1d395f3787-3.mp3,0,-10,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.755,acoustic
FALSE,2,9143,Orchestra Baobab,704072222,Sutukun,https://www.deezer.com/track/704072222?utm_source=deezer&utm_content=track-704072222&utm_term=0_1702974142&utm_medium=web,332,173890,FALSE,0,2,https://cdns-preview-1.dzcdn.net/stream/c-103550ac5313860b146ed87c4692355c-3.mp3,0,-12.8,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.489,acoustic
FALSE,2,9143,Orchestra Baobab,704072252,N'dongoy Daara,https://www.deezer.com/track/704072252?utm_source=deezer&utm_content=track-704072252&utm_term=0_1702974142&utm_medium=web,321,182224,FALSE,0,2,https://cdns-preview-c.dzcdn.net/stream/c-c140e247e854ff8e9bb391d32e116f7f-2.mp3,128.4,-11.3,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.706,acoustic
FALSE,2,9143,Orchestra Baobab,704072292,Gnawoe,https://www.deezer.com/track/704072292?utm_source=deezer&utm_content=track-704072292&utm_term=0_1702974143&utm_medium=web,381,168436,FALSE,0,2,https://cdns-preview-b.dzcdn.net/stream/c-b7dd1fa769a88c0f388b6f48361742a8-3.mp3,0,-11.5,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.795,acoustic
FALSE,2,9143,Orchestra Baobab,704063922,Fayinkounko,https://www.deezer.com/track/704063922?utm_source=deezer&utm_content=track-704063922&utm_term=0_1702974143&utm_medium=web,305,130985,FALSE,0,2,https://cdns-preview-3.dzcdn.net/stream/c-3de750319b48b42a10a86e59454da138-2.mp3,0,-10.1,https://e-cdns-images.dzcdn.net/images/artist/124115312da751e6416e2b52a5e77e42/250x250-000000-80-0-0.jpg,0.625,acoustic
FALSE,2,90764,Tamikrest,70339167,Tisnant an Chatma,https://www.deezer.com/track/70339167?utm_source=deezer&utm_content=track-70339167&utm_term=0_1702974144&utm_medium=web,290,283340,FALSE,0,2,https://cdns-preview-e.dzcdn.net/stream/c-e8c20a7c2a7656ab0de4f42775d0a90a-3.mp3,159,-7.4,https://e-cdns-images.dzcdn.net/images/artist/94407f6831c5e57a3900a9b0c7746250/250x250-000000-80-0-0.jpg,0.717,acoustic
FALSE,2,90764,Tamikrest,65187437,Aratan N Tinariwen,https://www.deezer.com/track/65187437?utm_source=deezer&utm_content=track-65187437&utm_term=0_1702974144&utm_medium=web,225,203035,FALSE,0,2,https://cdns-preview-f.dzcdn.net/stream/c-f92cf88ff6061cb966e2990f83b42ac6-2.mp3,108,-6.7,https://e-cdns-images.dzcdn.net/images/artist/94407f6831c5e57a3900a9b0c7746250/250x250-000000-80-0-0.jpg,0.703,acoustic
